"Ask Your Own Question","Ask Your Own Question"
"Your Name","Your Name"
"Reset","Reset"
"Submit","Submit"
"Back to the product page","Back to the product page"
"Submit your question","Submit your question"
"Questions on","Questions on"
"No questions asked yet","No questions asked yet"
"'Ask Your Own Question","'Ask Your Own Question"
"Copy the text in the image above","Copy the text in the image above"
"Product Questions","Product Questions"
"Product","Product"
"Asked on","Asked on"
"Author Name","Author Name"
"Author Email","Author Email"
"Question","Question"
"Visibility","Visibility"
"Public","Public"
"Private","Private"
"Answer","Answer"
"Details","Details"
"Save","Save"
"Delete","Delete"
"Save And Continue Edit","Save And Continue Edit"
"Reply question from","Reply question from"
"Add Item","Add Item"
"Date","Date"
"Replied","Replied"
"Questions List","Questions List"
"Product Name","Product Name"
"Action","Action"
"Reply","Reply"
"Are you sure?","Are you sure?"
"Change visibility status","Change visibility status"
"Status","Status"
"Product Questions","Product Questions"
"Add Item","Add Item"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Question was successfully replied","Question was successfully replied"
"Question was successfully saved","Question was successfully saved"
"Unable to find item to reply","Unable to find item to reply"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Your question has been submitted!","Your question has been submitted!"
"The security code entered was incorrect. Please try again!","The security code entered was incorrect. Please try again!"
"New Question Notification","New Question Notification"
"New Reply Notification","New Reply Notification"
"New Question Confirmation","New Question Confirmation"
"MAGEBUZZ ADD-ONS","MAGEBUZZ ADD-ONS"
"General","General"
"Show Product Question in Product Detail","Show Product Question in Product Detail"
"Allow guest to ask the question","Allow guest to ask the question"
"Enable captcha","Enable captcha"
"Enable Email Confirmation","Enable Email Confirmation"
"Email","Email"
"Send emails to:","Send emails to:"
"Email Sender","Email Sender"
"Email template sent to customer","Email template sent to customer"
"Email template sent to admin","Email template sent to admin"
"Email confirmation template","Email confirmation template"
"Public","Public"
"Private","Private"
